title,link,description
Harvey Weinstein found guilty in second sex crimes trial,https://www.bbc.co.uk/news/world-us-canada-63867784?at_medium=RSS&at_campaign=KARANGA,The 70-year-old is already serving 23 years in jail after he was convicted in New York two years ago.
Panel calls for Trump to face insurrection charge,https://www.bbc.co.uk/news/world-us-canada-64034559?at_medium=RSS&at_campaign=KARANGA,"The committee airs critical testimony by a Trump loyalist and criticises his daughter, Ivanka Trump."
Ukraine to boost Belarus border defences as Putin meets Lukashenko,https://www.bbc.co.uk/news/world-europe-64030975?at_medium=RSS&at_campaign=KARANGA,Kyiv fears a fresh Russian assault is on the horizon after President Putin travelled to Minsk.
Venezuelans ignore dangers of Darién jungle,https://www.bbc.co.uk/news/world-latin-america-63919161?at_medium=RSS&at_campaign=KARANGA,A record number of people attempt the trek this year on foot in search of a better life in the US.
In pictures: France receive heroes' welcome in Paris after World Cup heartbreak,https://www.bbc.co.uk/news/world-europe-64034720?at_medium=RSS&at_campaign=KARANGA,The French national team are met by thousands in Paris after losing to Argentina on Sunday.
At Hanukkah event Biden slams 'venom' of antisemitism,https://www.bbc.co.uk/news/world-us-canada-64035123?at_medium=RSS&at_campaign=KARANGA,"At the Jewish festival of lights, Mr Biden took a moment to slam a ""venom"" of hatred on the rise globally."
Amber Heard settles defamation case against Johnny Depp,https://www.bbc.co.uk/news/world-us-canada-64031252?at_medium=RSS&at_campaign=KARANGA,Ms Heard will pay her ex-husband $1m after jury found she had defamed him in a Washington Post article.
British Airways: Flights leaving US grounded over technical issue,https://www.bbc.co.uk/news/business-64035534?at_medium=RSS&at_campaign=KARANGA,British Airways apologises to passengers left waiting in airports and on runways across the US.
Elon Musk: Twitter users vote in favour of boss resigning,https://www.bbc.co.uk/news/business-your-money-64021412?at_medium=RSS&at_campaign=KARANGA,"Some 57.5% of users voted ""yes"" when Elon Musk asked them if he should quit as Twitter's chief executive."
Vaughan condo shooting: Three victims were on condo board,https://www.bbc.co.uk/news/world-us-canada-64024023?at_medium=RSS&at_campaign=KARANGA,"Police said the gunman, who lived in the building, killed five people in three separate units."
Chaos as severe turbulence hits Hawaiian Airlines plane,https://www.bbc.co.uk/news/world-us-canada-64034756?at_medium=RSS&at_campaign=KARANGA,"At least 36 people were injured, 11 seriously, during the passenger jet's flight to Honolulu."
EU nations agree gas price cap to shield consumers,https://www.bbc.co.uk/news/business-64032130?at_medium=RSS&at_campaign=KARANGA,The cap will kick in if prices breach 180 euros per megawatt hour for three days running.
Fortnite settles child privacy and trickery claims,https://www.bbc.co.uk/news/business-64030272?at_medium=RSS&at_campaign=KARANGA,Epic Games pays $520m over claims it violated child privacy laws and tricked players into making purchases.
Ethiopia civil war: The boy named ‘Wealthy’ who weighs half what he should,https://www.bbc.co.uk/news/world-africa-63994851?at_medium=RSS&at_campaign=KARANGA,"Ethiopia's civil war has left tens of thousands, including large numbers of children, malnourished."
Poachers target hippos for giant teeth in place of ivory,https://www.bbc.co.uk/news/science-environment-63931103?at_medium=RSS&at_campaign=KARANGA,"As bans on elephant ivory are tightened, poachers are killing hippos for their teeth, experts warn."
‘We long for Ukraine - but our son has chances here’,https://www.bbc.co.uk/news/disability-64000114?at_medium=RSS&at_campaign=KARANGA,"For some disabled refugees, fleeing Ukraine has given a better quality of life, provoking a dilemma."
The cargo hauling aircraft with no pilots on board,https://www.bbc.co.uk/news/business-63595481?at_medium=RSS&at_campaign=KARANGA,"Rejecting deliveries to the doorstep, some drone makers are betting on bigger pilot-free aircraft."
Explaining the criminal charges January 6 committee recommended for Trump,https://www.bbc.co.uk/news/world-us-canada-64034782?at_medium=RSS&at_campaign=KARANGA,The 6 January committee says there's enough evidence to prosecute the former president on four charges.
Thailand warship capsizes during storm,https://www.bbc.co.uk/news/world-asia-64024305?at_medium=RSS&at_campaign=KARANGA,"Video from the Thai Navy shows the ship on its side, as it is about to capsize."
World Cup 2022: 'Argentina really needed this win',https://www.bbc.co.uk/news/world-latin-america-64022968?at_medium=RSS&at_campaign=KARANGA,Victory in the 2022 World Cup has bought relief to many in a country facing continuing economic problems.
"German cathedral school allows girl choristers after 1,000 years",https://www.bbc.co.uk/news/world-europe-64022963?at_medium=RSS&at_campaign=KARANGA,"In Germany, the Regensburg cathedral school has founded a separate girls choir."
Ukrainians install Christmas 'tree of invincibility',https://www.bbc.co.uk/news/world-europe-64016356?at_medium=RSS&at_campaign=KARANGA,The tree in Mykolaiv is made from camouflage nets which will be donated to soldiers in the new year.
Peru-Bolivia border blocked by protesters,https://www.bbc.co.uk/news/world-latin-america-64015658?at_medium=RSS&at_campaign=KARANGA,"Demonstrators have prevented travellers crossing a border between Peru and Bolivia, after protesting for early elections."
Ukraine missile struck as mum sat with child to do homework,https://www.bbc.co.uk/news/world-europe-64009960?at_medium=RSS&at_campaign=KARANGA,Several people die after an attack on a residential building in the central Ukrainian city of Kryvyi Rih.
