titles,descriptions,links,pubDates
 So you want to live forever?," Spoiler: You probably won't be able to live forever, even if you want to. How about settling for a life free from age-related ailments like Alzheimer's or arthritis instead?", https://www.dw.com/en/so-you-want-to-live-forever/a-61556152?maca=en-rss-en-all-1573-rdf, 2022-04-22T12:42:00Z
" COVID: In a crowd of unmasked people, can a mask still protect you?"," Many countries around the world are easing mask mandates. If no one else is masking up, should you?", https://www.dw.com/en/covid-in-a-crowd-of-unmasked-people-can-a-mask-still-protect-you/a-61544150?maca=en-rss-en-all-1573-rdf, 2022-04-22T11:06:00Z
" From Mumbai to Paris, the cities investing in the planet"," This Earth Day, we show how city councils and mayors have stepped up to boldly decarbonize in the face of national government inaction.", https://www.dw.com/en/from-mumbai-to-paris-the-cities-investing-in-the-planet/a-61479857?maca=en-rss-en-all-1573-rdf, 2022-04-21T18:53:00Z
 Energy crisis: What role can Germany's oil and gas sector play?," As Germany looks to ditch Russian oil and gas for good, its domestic energy industry is a key side actor — but can it step up to the plate? We search for clues in the village where Germany's oil sector was born.", https://www.dw.com/en/energy-crisis-what-role-can-germany-s-oil-and-gas-sector-play/a-61545432?maca=en-rss-en-all-1573-rdf, 2022-04-21T16:14:00Z
 Climate crisis: How to cope with eco-anxiety," Does worrying about climate change keep you up at night? Growing numbers of people are struggling with eco-anxiety, or distress about the state of the planet. If you're one of them, these expert tips might help.", https://www.dw.com/en/climate-crisis-how-to-cope-with-eco-anxiety/a-60796191?maca=en-rss-en-all-1573-rdf, 2022-04-21T07:27:00Z
 Glass windows kill billions of birds a year. Scientists are working to change that, Conservationists are trying to convince governments and building owners around the world to introduce changes to stop birds from flying into reflective glass. Experts say the solutions are surprisingly simple., https://www.dw.com/en/glass-windows-kill-billions-of-birds-a-year-scientists-are-working-to-change-that/a-61461646?maca=en-rss-en-all-1573-rdf, 2022-04-19T12:11:00Z
 The thriving gardens at the heart of Rio de Janeiro's favelas," In one of the most dangerous and deprived neighborhoods in the Brazilian city, residents are now finding hope and employment by growing fruit and vegetables.", https://www.dw.com/en/the-thriving-gardens-at-the-heart-of-rio-de-janeiro-s-favelas/a-61377873?maca=en-rss-en-all-1573-rdf, 2022-04-15T06:59:00Z
 European Space Agency halts cooperation with Russia on moon missions, The European Space Agency's move marks the latest in the deterioration of space-based relations with Russia., https://www.dw.com/en/european-space-agency-halts-cooperation-with-russia-on-moon-missions/a-61476573?maca=en-rss-en-all-1573-rdf, 2022-04-14T14:57:00Z
 New omicron variants: What we know so far," A new omicron subvariant, BA.2.12.1, is spreading in the US and India. German Health Minister Lauterbach has expressed concern about the highly contagious coronavirus variant. Here's what we know so far.", https://www.dw.com/en/new-omicron-variants-what-we-know-so-far/a-61472164?maca=en-rss-en-all-1573-rdf, 2022-04-14T14:11:00Z
 China turns cities into sponges to stop flooding," In the coming decade, China is expanding its plans for sponge cities. They can help prevent flooding, promote biodiversity and cut emissions. But what exactly are these cities and how do they work?", https://www.dw.com/en/china-turns-cities-into-sponges-to-stop-flooding/a-61414704?maca=en-rss-en-all-1573-rdf, 2022-04-14T07:52:00Z
 Germany: Over 1 in 4 people have 'migrant background'," The number of people with ""migrant background"" — foreigners and people with foreign roots — keeps rising in Germany, with Turkey, Poland and Russia the top three countries of familial origin.", https://www.dw.com/en/germany-over-1-in-4-people-have-migrant-background/a-61452241?maca=en-rss-en-all-1573-rdf, 2022-04-12T15:35:00Z
 Cities are major polluters: Can we make them climate neutral?," Spewing most of the world's heat-trapping gases, fast-growing cities need to be transformed into clean, low emissions ecosystems in the struggle against climate breakdown.", https://www.dw.com/en/cities-are-major-polluters-can-we-make-them-climate-neutral/a-61438020?maca=en-rss-en-all-1573-rdf, 2022-04-11T17:15:00Z
 Astronaut Samantha Cristoforetti: ISS is a 'beacon of hope'," Ahead of the launch of her Minerva mission to the International Space Station, Cristoforetti talked about the cooperation among European, US and Russian crew members in light of the ongoing Russian invasion of Ukraine.", https://www.dw.com/en/astronaut-samantha-cristoforetti-iss-is-a-beacon-of-hope/a-61440382?maca=en-rss-en-all-1573-rdf, 2022-04-11T17:07:00Z
