title,link,description
"Ukraine war: US fully backs Sweden and Finland Nato bids, Biden says",https://www.bbc.co.uk/news/world-us-canada-61511396?at_medium=RSS&at_campaign=KARANGA,Both countries submitted their applications to be part of the Western defence alliance this week.
Ukrainian widow confronts Russian soldier accused of killing her husband,https://www.bbc.co.uk/news/world-europe-61511640?at_medium=RSS&at_campaign=KARANGA,The 21-year-old serviceman has pled guilty to killing her husband in a village in Ukraine's north-east.
Ukraine war: One Russian's anti-war protest on the side of his shopping centre,https://www.bbc.co.uk/news/world-europe-61515365?at_medium=RSS&at_campaign=KARANGA,Dmitry Skurikhin has listed the Ukrainian towns attacked by Russia on the side of his shopping centre.
North Korea: Fighting Covid with traditional medicine,https://www.bbc.co.uk/news/61508440?at_medium=RSS&at_campaign=KARANGA,"As Covid spreads in North Korea, state media urges the use of traditional medicine against the virus."
Former Afghanistan official apologises for his role in the fall of the country,https://www.bbc.co.uk/news/world-asia-61516894?at_medium=RSS&at_campaign=KARANGA,Hamdullah Mohib fled the country along with the president the day the capital fell.
"Monkeypox cases investigated in Europe, US and Canada",https://www.bbc.co.uk/news/health-61506562?at_medium=RSS&at_campaign=KARANGA,"Cases of the rare disease are now confirmed in four European countries, health authorities say."
Vangelis: Chariots of Fire and Blade Runner composer dies at 79,https://www.bbc.co.uk/news/entertainment-arts-61514850?at_medium=RSS&at_campaign=KARANGA,"The Greek musician won an Oscar for the 1981 film theme, and also wrote the Blade Runner soundtrack."
Israeli coalition government in crisis as MP quits,https://www.bbc.co.uk/news/world-middle-east-61512656?at_medium=RSS&at_campaign=KARANGA,"An Arab member resigns in anger, leaving the government as a fragile minority for the first time."
Bush condemns Putin's invasion of 'Iraq' instead of Ukraine,https://www.bbc.co.uk/news/world-us-canada-61505050?at_medium=RSS&at_campaign=KARANGA,The former US president corrected himself after saying Putin had invaded Iraq rather than Ukraine.
Russian McDonald's buyer to rebrand restaurants,https://www.bbc.co.uk/news/business-61512255?at_medium=RSS&at_campaign=KARANGA,The fast food giant says the new owner of its 850 Russian restaurants will operate them under a new brand.
Nnamdi Kanu: Nigerian separatist allowed to watch Liverpool games on TV,https://www.bbc.co.uk/news/world-africa-61509984?at_medium=RSS&at_campaign=KARANGA,A Nigerian judge grants Nnamdi Kanu dispensation to watch the climax of his favourite team's season.
Women awarded damages over Japan exam discrimination,https://www.bbc.co.uk/news/world-asia-61506568?at_medium=RSS&at_campaign=KARANGA,Juntendo University in Tokyo set stricter requirements for female medical students in entrance exams.
Australia election 2022: Cost of living worries voters,https://www.bbc.co.uk/news/business-61483645?at_medium=RSS&at_campaign=KARANGA,"If interest rates keep rising 300,000 Australians may default on mortgage repayments."
Assam: The wild mushrooms killing India tea garden workers,https://www.bbc.co.uk/news/world-asia-india-61475397?at_medium=RSS&at_campaign=KARANGA,Workers in Assam's famed tea gardens are dying from eating wild mushrooms.
Australia election: Why is Australia's parliament so white?,https://www.bbc.co.uk/news/world-australia-61432762?at_medium=RSS&at_campaign=KARANGA,"Australia is a multicultural country, but critics say those representing the country don't reflect this."
Russia's laser weapon claim derided as propaganda,https://www.bbc.co.uk/news/world-europe-61508922?at_medium=RSS&at_campaign=KARANGA,"Moscow says it has destroyed a drone with a laser, but Kyiv says it can't mask battlefield failure."
I learned to sing using YouTube - and now it's my career,https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-61480033?at_medium=RSS&at_campaign=KARANGA,A holiday rep who was unable to sing teaches himself then scoops two music awards.
LGBTQ+ in Qatar: 'Waking up in fear every day is exhausting',https://www.bbc.co.uk/news/world-middle-east-61500137?at_medium=RSS&at_campaign=KARANGA,Fifa has said it will cancel the World Cup 2022 contracts of any hotel in Qatar that does not allow same-sex couples to stay.
Meet Gleb and Ukraine’s youth orchestra in exile in Slovenia,https://www.bbc.co.uk/news/world-europe-61300986?at_medium=RSS&at_campaign=KARANGA,A large group of talented young musicians and their families have been evacuated out of Ukraine into Slovenia.
Woman kidnapped as a child reunites with rescuer,https://www.bbc.co.uk/news/world-australia-61482700?at_medium=RSS&at_campaign=KARANGA,"Kathy Wrethman, from Australia, has finally come face-to-face with the man who saved her life."
China's silenced feminist: How Sophia Huang Xueqin went missing,https://www.bbc.co.uk/news/world-asia-china-61467135?at_medium=RSS&at_campaign=KARANGA,"BBC Eye investigates the disappearance of Sophia Huang Xueqin, a high-profile feminist journalist who kick-started China’s #MeToo movement."
Taylor Swift graduation speech: Embrace 'cringe',https://www.bbc.co.uk/news/world-us-canada-61502979?at_medium=RSS&at_campaign=KARANGA,New York University bestowed the renowned pop singer with an honorary degree.
