title,link,description
Russian warship: Moskva crew 'shown for first time since sinking',https://www.bbc.co.uk/news/world-europe-61129151?at_medium=RSS&at_campaign=KARANGA,Russia's defence ministry releases a video purportedly showing the crew of the Moskva in Sevastopol.
Ukraine war: Trucks stuck at Poland-Belarus border as EU sanctions deadline passes,https://www.bbc.co.uk/news/world-europe-61133439?at_medium=RSS&at_campaign=KARANGA,An 80km queue formed on the Polish border ahead of a deadline for Russian trucks to leave the EU.
Ukraine war scams: Cybercriminals stole my identity,https://www.bbc.co.uk/news/world-61100181?at_medium=RSS&at_campaign=KARANGA,Scammers are using emotionally charged tricks in a bid to steal online donations.
UK's Rwanda asylum plan the 'opposite of nature of God' - Welby,https://www.bbc.co.uk/news/uk-61130841?at_medium=RSS&at_campaign=KARANGA,"There were ""serious ethical questions"" over sending migrants to east Africa, Justin Welby says."
North Korea tests new weapon 'to improve tactical nukes',https://www.bbc.co.uk/news/world-asia-61133225?at_medium=RSS&at_campaign=KARANGA,Kim Jong-un clapped as he watched the launch - a new indication of his intention to resume nuclear tests.
Unrest in Sweden over planned Quran burnings,https://www.bbc.co.uk/news/world-europe-61134734?at_medium=RSS&at_campaign=KARANGA,"There is ongoing unrest over a far-right group which burned a copy of the Quran, and planned to do so again."
Angella Okutoyi: Kenya's rising tennis star,https://www.bbc.co.uk/news/world-africa-61111425?at_medium=RSS&at_campaign=KARANGA,"After playing in the Australian Open, could Kenyan Angella Okutoyi emulate her hero Serena Williams?"
South Africa flooding: 'I had thought my house was safe',https://www.bbc.co.uk/news/world-africa-61128662?at_medium=RSS&at_campaign=KARANGA,"Torrential floods have killed nearly 400 people in South Africa, with more rain forecast."
Johnson to visit India in bid to boost defence ties,https://www.bbc.co.uk/news/uk-61130758?at_medium=RSS&at_campaign=KARANGA,The prime minister will meet his Indian counterpart after previous visits were postponed due to Covid.
Climate change: Key UN finding widely misinterpreted,https://www.bbc.co.uk/news/science-environment-61110406?at_medium=RSS&at_campaign=KARANGA,"Suggestions emissions could rise for another three years without dangerous warming are wrong, scientists say."
Covid China: Elderly deaths contradict Shanghai figures,https://www.bbc.co.uk/news/world-asia-china-61117738?at_medium=RSS&at_campaign=KARANGA,Official figures claim there have been no Covid deaths in the current outbreak.
Tropical Storm Megi: Landslides and floods kill 167 in Philippines,https://www.bbc.co.uk/news/world-asia-61089853?at_medium=RSS&at_campaign=KARANGA,"Tropical Storm Megi devastated the country on Sunday, with houses washed out to sea in one village."
Undocumented lotto winner struggles to claim prize,https://www.bbc.co.uk/news/world-europe-61120574?at_medium=RSS&at_campaign=KARANGA,"An Algerian man in Belgium is fighting to claim his €250,000 winnings because of his status."
Climate change: 'We're making wine in Norway',https://www.bbc.co.uk/news/business-61093929?at_medium=RSS&at_campaign=KARANGA,"Vineyards are moving further north, but new winemakers say they struggle to be taken seriously."
Nigeria's Chibok girls: Why was this former captive treated differently?,https://www.bbc.co.uk/news/world-africa-61092882?at_medium=RSS&at_campaign=KARANGA,Hassana Adamu speaks to the BBC about feeling neglected on the eighth anniversary of the kidnappings.
Patrick Lyoya: Could rethink of US police traffic stops save lives?,https://www.bbc.co.uk/news/world-us-canada-61123590?at_medium=RSS&at_campaign=KARANGA,The death of a black man in Michigan after a traffic stop raises questions about police use of force.
DR Congo conflict: Hiding on top of a hill to escape the rebels,https://www.bbc.co.uk/news/world-africa-61092878?at_medium=RSS&at_campaign=KARANGA,"Some 50,000 people have found a place of sanctuary from the myriad armed groups in eastern DR Congo."
Week in pictures: 9-15 April 2022,https://www.bbc.co.uk/news/in-pictures-61098288?at_medium=RSS&at_campaign=KARANGA,"A selection of striking images from all over the globe, taken in the past seven days."
Merle Oberon: India's forgotten Hollywood star,https://www.bbc.co.uk/news/world-asia-india-61079732?at_medium=RSS&at_campaign=KARANGA,Merle Oberon rose to stardom in the West while furtively hiding the truth of her past in India.
Sanctioned Russian oligarchs linked to £800m worth of UK property,https://www.bbc.co.uk/news/world-europe-61080536?at_medium=RSS&at_campaign=KARANGA,"A dozen sanctioned Russians are linked to an estimated £800m worth of property in the UK, BBC analysis reveals."
Durban floods: Is it a consequence of climate change?,https://www.bbc.co.uk/news/61107685?at_medium=RSS&at_campaign=KARANGA,"KwaZulu-Natal province has seen some serious flooding, but there isn't one clear explanation."
Invictus Games: Prince Harry and Meghan join opening ceremony in the Netherlands,https://www.bbc.co.uk/news/world-europe-61130412?at_medium=RSS&at_campaign=KARANGA,The Duke and Duchess of Sussex have not been on this side of the Atlantic together since 2020.
"Chernihiv is silent, after having been under constant attack from Russian forces",https://www.bbc.co.uk/news/world-europe-61110910?at_medium=RSS&at_campaign=KARANGA,The Ukrainian city of Chernihiv was under constant attack until suddenly Russian forces withdrew.
Ukraine war: Minesweeping dog helps clear Chernihiv of Russian explosives,https://www.bbc.co.uk/news/world-europe-61099213?at_medium=RSS&at_campaign=KARANGA,"Patron, a Jack Russell, has so far helped to remove hundreds of explosive devices."
US zoo celebrates 50 years of giant pandas,https://www.bbc.co.uk/news/world-us-canada-61122320?at_medium=RSS&at_campaign=KARANGA,The tradition of gifted pandas to the US from China hits a 50-year mark at Washington DC's National Zoo.
Former Twitter exec questions seriousness of Musk offer,https://www.bbc.co.uk/news/business-61117092?at_medium=RSS&at_campaign=KARANGA,"Vivian Schiller, who used to work there, tells Newsnight Elon Musk enjoys ""throwing bombs"" on Twitter."
Swedish police shoot 3 during fresh riots — reports,https://www.dw.com/en/swedish-police-shoot-3-during-fresh-riots-reports/a-61500315?maca=en-rss-en-all-1573-rdf,"Three people were injured as police fired warning shots at rioters in the eastern city of Norrkoping, local media say. The violence had started after a far-right politician threatened to burn a copy of the Quran."
"Ukraine: Mariupol situation remains dire, says Zelenskyy — live updates",https://www.dw.com/en/ukraine-mariupol-situation-remains-dire-says-zelenskyy-live-updates/a-61497237?maca=en-rss-en-all-1573-rdf,"Ukrainian President Volodymyr Zelenskyy said Russia wants to ""destroy everyone who is there in Mariupol."" The EU says it is working on the next wave of sanctions against Russia. Follow DW for the latest."
Spain: Fishing boat with 3 metric tons of cocaine seized,https://www.dw.com/en/spain-fishing-boat-with-3-metric-tons-of-cocaine-seized/a-61499965?maca=en-rss-en-all-1573-rdf,"Security forces and the Spanish tax agency have seized a fishing boat south of the Canary Islands carrying more than 2,900 kilos of cocaine, with a market value of €90 million."
France: Le Pen accused of embezzlement ahead of election runoff,https://www.dw.com/en/france-le-pen-accused-of-embezzlement-ahead-of-election-runoff/a-61499951?maca=en-rss-en-all-1573-rdf,"French prosecutors are looking into a EU report which accuses far-right candidate Marine Le Pen and her associates of embezzling over €600,000."
Pakistan warns Afghanistan's Taliban not to shelter militants,https://www.dw.com/en/pakistan-warns-afghanistan-s-taliban-not-to-shelter-militants/a-61499959?maca=en-rss-en-all-1573-rdf,"Islamabad has issued a warning to Afghanistan's Taliban leadership, accusing it of giving shelter to militants. In turn, the Taliban claim Pakistani bombings recently killed dozens of civilians on Afghan soil."
Ukraine war: Will the wheat crisis bring more food independence?,https://www.dw.com/en/ukraine-war-will-the-wheat-crisis-bring-more-food-independence/a-61478135?maca=en-rss-en-all-1573-rdf,"Middle Eastern countries are boosting their food independence to counter the coming wheat shortfall. But despite some encouraging initiatives, existing challenges make food sovereignty almost impossible — for now."
Pope condemns Ukraine War in Easter message,https://www.dw.com/en/pope-condemns-ukraine-war-in-easter-message/a-61499484?maca=en-rss-en-all-1573-rdf,"Pope Francis has criticized the war in Ukraine as a ""cruel and senseless"" conflict. In his Easter ""Urbi et Orbi"" address he also called for reconciliation among Israelis and Palestinians, and in other conflict zones."
Jerusalem: Several Palestinians arrested over fresh Al-Aqsa violence,https://www.dw.com/en/jerusalem-several-palestinians-arrested-over-fresh-al-aqsa-violence/a-61498687?maca=en-rss-en-all-1573-rdf,Several Palestinians were injured as violence broke out at Jerusalem's Temple Mount for the second time in just days. The site is sacred to both Jews and Muslims.
