title,link,description
Bloody river battle was third in three days - Ukraine official,https://www.bbc.co.uk/news/world-europe-61399440?at_medium=RSS&at_campaign=KARANGA,Ukraine claims to have attacked Russian troops as they attempted to cross the Siversky Donets river.
Ukraine begins first war crimes trial of Russian soldier,https://www.bbc.co.uk/news/world-europe-61441907?at_medium=RSS&at_campaign=KARANGA,"In the first such trial of the war, the defendant, 21, is accused of killing an unarmed civilian."
Shireen Abu Aqla: Violence at Al Jazeera reporter's funeral in Jerusalem,https://www.bbc.co.uk/news/world-middle-east-61437601?at_medium=RSS&at_campaign=KARANGA,"Police with riot gear hit mourners, saying they were pelted with stones, as crowds carry her coffin."
"Sri Lanka economy crisis to get worse before it gets better, PM says",https://www.bbc.co.uk/news/world-asia-61434304?at_medium=RSS&at_campaign=KARANGA,Sri Lanka's new PM tells the BBC the country's dire economic crisis will get worse before it gets better.
Kenyan fighting FGM crowned world's best nurse,https://www.bbc.co.uk/news/world-africa-61435153?at_medium=RSS&at_campaign=KARANGA,"Anna Qabale Duba says the $250,000 prize money will help expand her school for children and adults."
North Korea announces first death from Covid-19,https://www.bbc.co.uk/news/world-asia-61432084?at_medium=RSS&at_campaign=KARANGA,"A day after confirming its first cases, state media reports thousands are suffering fever symptoms."
Elon Musk puts Twitter deal on hold over fake account details,https://www.bbc.co.uk/news/business-61433724?at_medium=RSS&at_campaign=KARANGA,"The billionaire wants more data on fake accounts, prompting speculation over the deal's future."
Eleven migrants drown trying to reach US territory,https://www.bbc.co.uk/news/world-us-canada-61417926?at_medium=RSS&at_campaign=KARANGA,"Almost 40 people, mostly from Haiti, were rescued after their boat capsized near Puerto Rico."
Brittney Griner: US basketball star has Russian detention extended,https://www.bbc.co.uk/news/world-us-canada-61417928?at_medium=RSS&at_campaign=KARANGA,"Russian media says Moscow wishes to ""swap"" Griner for the arms trafficker Viktor Bout."
Ukraine war: UK adds Putin's former wife to sanctions list,https://www.bbc.co.uk/news/uk-61439524?at_medium=RSS&at_campaign=KARANGA,Both Vladimir Putin's former wife and his alleged current girlfriend are sanctioned over the war in Ukraine.
Rwandan genocide fugitive Protais Mpiranya confirmed dead,https://www.bbc.co.uk/news/world-africa-61429761?at_medium=RSS&at_campaign=KARANGA,Protais Mpiranya led the presidential guard that killed the then-PM and 10 Belgian peacekeepers.
Ukraine conflict: Russian soldiers seen killing unarmed civilians,https://www.bbc.co.uk/news/world-europe-61425025?at_medium=RSS&at_campaign=KARANGA,"The incident, captured on video seen by the BBC, is being investigated as a suspected war crime."
Sri Lanka crisis: How war heroes became villains,https://www.bbc.co.uk/news/world-asia-61411532?at_medium=RSS&at_campaign=KARANGA,"The Rajapaksa brothers, hailed by many as heroes for winning the civil war, are now reviled as leaders."
Afghanistan pupils in fear after spate of Islamic State attacks,https://www.bbc.co.uk/news/world-asia-61404083?at_medium=RSS&at_campaign=KARANGA,A spate of Islamic State attacks have left Afghan students in fear and test Taliban security claims.
Eurovision 2022: The anthem for Ukraine born in a war zone,https://www.bbc.co.uk/news/world-europe-61424173?at_medium=RSS&at_campaign=KARANGA,The BBC joined Ukraine's Kalush Orchestra as they prepared for the contest amid the rubble of the city of Irpin.
LPG price: Millions hit hard as cooking gas cost soars in India,https://www.bbc.co.uk/news/world-asia-india-61410449?at_medium=RSS&at_campaign=KARANGA,Many households in rural areas are forced to rely on wood for cooking as gas has become unaffordable.
Ukraine crisis: Could India cut its defence ties with Russia?,https://www.bbc.co.uk/news/world-asia-india-61274042?at_medium=RSS&at_campaign=KARANGA,"India has been under pressure to distance itself from Russia over Ukraine, including reducing defence ties."
The long struggle to return Cambodia's looted treasures,https://www.bbc.co.uk/news/world-asia-61354625?at_medium=RSS&at_campaign=KARANGA,The east Asian country claims the V&amp;A and British Museum both hold stolen antiquities.
Clashes at Al Jazeera journalist's funeral procession,https://www.bbc.co.uk/news/world-middle-east-61445446?at_medium=RSS&at_campaign=KARANGA,"Violent scenes between police, and mourners of killed reporter Shireen Abu Aqla."
The Ukrainian refugee schoolgirl learning fast in the UK,https://www.bbc.co.uk/news/education-61396730?at_medium=RSS&at_campaign=KARANGA,"Ukrainian refugee Marharyta, nine, is learning English as she waits to start school in Manchester."
Ukraine: The BBC has seen evidence of possible war crimes committed by Russian soldiers,https://www.bbc.co.uk/news/world-europe-61426127?at_medium=RSS&at_campaign=KARANGA,The BBC has obtained CCTV footage of the killing of two civilians in cold blood by Russian soldiers that is now being investigated by prosecutors as a suspected war crime.
We're ready to consider Nato membership - Finland's foreign minister,https://www.bbc.co.uk/news/world-europe-61419422?at_medium=RSS&at_campaign=KARANGA,Foreign Minister Pekka Haavisto tells the BBC that that he wants Finland to join Nato as soon as possible.
Air traffic controller on helping passenger land plane after pilot fell ill,https://www.bbc.co.uk/news/world-us-canada-61424113?at_medium=RSS&at_campaign=KARANGA,Robert Morgan talked passenger Darren Harrison through landing a plane after the pilot fell ill.
Joly Germine: Haitian gang leader indicted over missionary abductions,https://www.bbc.co.uk/news/world-us-canada-61412343?at_medium=RSS&at_campaign=KARANGA,Joly Germine allegedly directed the kidnappings of 17 Christian missionaries from a Haitian prison.
"Putin losing confidence in Ukraine war, former Russian PM says",https://www.dw.com/en/putin-losing-confidence-in-ukraine-war-former-russian-pm-says/a-61794145?maca=en-rss-en-all-1573-rdf,"Mikhail Kasyanov, who served as prime minister under Vladimir Putin in the early 2000s, told DW he believed that the Russian president had ""already started to realize that he's losing this war."""
"Israeli police, public clash at funeral for slain journalist; EU 'dismayed'",https://www.dw.com/en/israeli-police-public-clash-at-funeral-for-slain-journalist-eu-dismayed/a-61789687?maca=en-rss-en-all-1573-rdf,Security forces and members of the public clashed repeatedly as pallbearers carried the journalist's coffin. Veteran reporter Shireen Abu Akleh was shot in the head while covering an Israeli military operation.
Bayern Munich's Bundesliga dominance not a barrier to Asian popularity,https://www.dw.com/en/bayern-munich-s-bundesliga-dominance-not-a-barrier-to-asian-popularity/a-61791958?maca=en-rss-en-all-1573-rdf,Competition for fans and revenue in Asia is fierce but strong social media work and success in Europe have rendered Bayern's domestic dominance less of an issue. The threat of the Premier League remains.
Africa roundtable unites with European allies,https://www.dw.com/en/africa-roundtable-unites-with-european-allies/a-61789066?maca=en-rss-en-all-1573-rdf,"Decision makers from politics, business and civil society have gathered in Berlin to discuss new ways for Europe and Africa to cooperate on issues from the COVID pandemic to the war in Ukraine."
Even isolated states like North Korea get COVID,https://www.dw.com/en/even-isolated-states-like-north-korea-get-covid/a-61790865?maca=en-rss-en-all-1573-rdf,Viruses don't respect national borders. Now even North Korea is dealing with COVID-19. We look at how countries fared by isolating fully in the pandemic.
